Row #,CocState,CoC,HudNum,Status,Year,Organization Name,HMIS Org ID,Project Name,HMIS Project ID,HIC Date,Project Type,Bed Type,Geocode,HMIS Participating,Inventory Type,Inventory Start Date,Target Population,mcKinneyVentoEsgEs,mcKinneyVentoEsgRrh,mcKinneyVentoEsgCov,mcKinneyVentoEsgRUSH,mcKinneyVentoCocSh,mcKinneyVentoCocTh,mcKinneyVentoCocPsh,mcKinneyVentoCocRrh,mcKinneyVentoCocSro,mcKinneyVentoCocThRrh,mcKinneyVentoSpC,mcKinneyVentoS8,mcKinneyVentoShp,mcKinneyVentoYhdp,mcKinneyVentoYhdpRenewals,mcKinneyVentoUnshelt,mcKinneyVentoRural,federalFundingVash,federalFundingSsvf,federalFundingGpdBh,federalFundingGpdLd,federalFundingGpdHh,federalFundingGpdCt,federalFundingGpdSith,federalFundingGpdTp,federalFundingHchvCrs,federalFundingHchvSh,federalFundingBcp,federalFundingMgh,federalFundingTlp,federalFundingRhyDp,federalFundingHopwaHmv,federalFundingHopwaPh,federalFundingHopwaStsf,federalFundingHopwaTh,federalFundingHopwaCovid,federalFundingPih,federalFundingIndianEhv,federalFundingHome,federalFundingHomeArp,federalFundingOther,federalFundingOtherSpecify,Housing Type,Victim Service Provider,address1,address2,city,state,zip,Beds HH w/ Children,Units HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,O/V Beds,Pit Count,Total Beds,Updated On,notes,projectNotes,sandyRelated,sandyRelatedNote,HOPWAMedAssistedLivingFac
47,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - YEC Overflow Shelter ES,1110,1/29/2024,ES,F,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,755 A Street,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,0,0,0,0,0,0,0,25,10/15/2023,4/29/2024,0,11,25,8/22/2024,,,No,,2
51,AK,Anchorage CoC,AK-500,Submitted,2024,Downtown Hope Center,540,Downtown Hope Center - Non-participating Emergency Shelter ES,1123,1/29/2024,ES,F,#020078,No,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,632 West 6th Avenue,,Anchorage,AK,99501,0,0,0,0,0,55,0,0,0,0,0,55,0,,,15,70,70,4/10/2024,,,No,,2
52,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - Non-Participating Covey Lofts TH,1125,1/29/2024,TH,,#020078,No,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Private grants and donations, ahfc?",TB,0,755 A Street,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,22,0,22,0,0,0,22,0,,,0,21,22,4/10/2024,,,No,,2
59,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - CoC Covey Rapid Rehousing RRH,1168,1/29/2024,RRH,,#020078,Yes,U,1/29/2024,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,755 A Street,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4/10/2024,,,No,,2
18,AK,Anchorage CoC,AK-500,Submitted,2024,Lutheran Social Services of Alaska,293,Lutheran Social Services of Alaska - Non-Participating Transitional Living TH,350,1/29/2024,TH,,#020078,No,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,804 West 16th Avenue,,Anchorage,AK,99503,0,0,0,0,0,3,0,0,0,0,0,3,0,,,0,3,3,4/10/2024,,,No,,2
22,AK,Anchorage CoC,AK-500,Submitted,2024,NeighborWorks Alaska,132,NeighborWorks Alaska - CoC SRA PSH,495,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,2515 A Street,,Anchorage,AK,99503,32,8,0,0,32,40,0,0,40,0,0,72,0,,,0,72,72,7/12/2024,,,No,,2
29,AK,Anchorage CoC,AK-500,Submitted,2024,NeighborWorks Alaska,132,NeighborWorks Alaska - CoC Resources and Initiative to Support and Empower RISE PSH,807,1/29/2024,PSH,,#020078,Yes,C,1/28/2024,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,2515 A Street,,Anchorage,AK,99503,8,3,0,0,8,49,0,0,49,0,0,57,0,,,0,57,57,7/12/2024,,,No,,2
31,AK,Anchorage CoC,AK-500,Submitted,2024,Volunteers of America,818,Volunteers of America - YHDP Permanent Housing PSH,819,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,0,"3330 Arctic Blvd, Suite 101",,Anchorage,AK,99503,2,1,0,2,0,8,0,8,0,0,0,10,0,,,0,10,10,4/11/2024,,,No,,2
32,AK,Anchorage CoC,AK-500,Submitted,2024,NeighborWorks Alaska,132,NeighborWorks Alaska - HOME TBRA HOME PH-H,845,1/29/2024,OPH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,MOA: HOME,TB,0,2515 A Street,,Anchorage,AK,99503,50,14,0,0,0,18,0,0,0,0,0,68,0,,,0,68,68,4/10/2024,,,No,,2
35,AK,Anchorage CoC,AK-500,Submitted,2024,Standing Together Against Rape,731,Standing Together Against Rape - Emergency Shelter ES,906,1/29/2024,ES,V,#020078,Comparable,C,1/29/2024,DV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,TB,1,,,,,99503,0,0,0,0,0,1,0,0,0,0,0,1,0,,,0,1,1,4/11/2024,,,No,,2
